Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
30/07/2014;0,0152;30/07/2014;-0,2103;30/07/2014;0,0822;30/07/2014;0,1175;15/10/2014;-1,0635;30/07/2014;-1,1097;30/07/2014;2,5577;30/07/2014;-0,0474;30/07/2014;-0,7025;30/07/2014;-1,3888;30/07/2014;-0,3892;30/07/2014;-0,3563;30/07/2014;-0,0433
31/07/2014;-1,9748;31/07/2014;-1,96;31/07/2014;-1,4778;31/07/2014;-0,9583;16/10/2014;-0,1233;31/07/2014;-2,1446;31/07/2014;-1,758;31/07/2014;0,0474;31/07/2014;-0,0291;31/07/2014;-0,2974;31/07/2014;-0,9768;31/07/2014;-0,1284;31/07/2014;-0,702
01/08/2014;-0,3056;01/08/2014;-0,7954;01/08/2014;-0,0833;01/08/2014;-0,3357;17/10/2014;0,2823;01/08/2014;0,2294;01/08/2014;0,1665;01/08/2014;0,1265;01/08/2014;0,587;01/08/2014;0,7719;01/08/2014;-0,2136;01/08/2014;0,3764;01/08/2014;-0,7417
04/08/2014;0,7221;04/08/2014;0,4767;04/08/2014;0,1668;04/08/2014;0,3566;20/10/2014;1,5834;04/08/2014;1,1442;04/08/2014;1,0802;04/08/2014;0;04/08/2014;0,0579;04/08/2014;-0,2619;04/08/2014;0,6705;04/08/2014;-0,0183;04/08/2014;0,2824
05/08/2014;-0,9696;05/08/2014;-1,1645;05/08/2014;-1,582;05/08/2014;-1,2043;21/10/2014;0,7101;05/08/2014;-1,1564;05/08/2014;-3,3703;05/08/2014;0;05/08/2014;0,0482;05/08/2014;0,3238;05/08/2014;-0,1727;05/08/2014;0;05/08/2014;-0,1232
06/08/2014;0,0312;06/08/2014;-0,2182;06/08/2014;-0,5499;06/08/2014;0,3597;22/10/2014;-0,4643;06/08/2014;0,5849;06/08/2014;-1,9566;06/08/2014;0,0237;06/08/2014;0,0868;06/08/2014;0,0611;06/08/2014;0,173;06/08/2014;0,0092;06/08/2014;-0,1233
07/08/2014;-0,5415;07/08/2014;-1,1371;07/08/2014;-0,2977;07/08/2014;-0,9558;23/10/2014;0,2419;07/08/2014;-1,3148;07/08/2014;0,6941;07/08/2014;0,0473;07/08/2014;0,4529;07/08/2014;0,9329;07/08/2014;-0,0493;07/08/2014;0,1924;07/08/2014;-0,1764
08/08/2014;1,1569;08/08/2014;0,9069;08/08/2014;0,1706;08/08/2014;0;24/10/2014;-0,2241;08/08/2014;-0,1537;08/08/2014;2,4989;08/08/2014;-0,0591;08/08/2014;-0,0863;08/08/2014;-0,2159;08/08/2014;0,4195;08/08/2014;0,0366;08/08/2014;0,3535
11/08/2014;0,2872;11/08/2014;0,1973;11/08/2014;0,937;11/08/2014;0,3217;27/10/2014;-0,38;11/08/2014;2,1042;11/08/2014;1,4292;11/08/2014;0;11/08/2014;-0,048;11/08/2014;-0,0087;11/08/2014;0,4915;11/08/2014;0,0091;11/08/2014;0,2025
12/08/2014;-0,1367;12/08/2014;-0,0438;12/08/2014;-0,1688;12/08/2014;0,481;28/10/2014;1,6126;12/08/2014;-0,1508;12/08/2014;-0,4559;12/08/2014;0;12/08/2014;-0,1441;12/08/2014;-0,6493;12/08/2014;0,0489;12/08/2014;-0,0457;12/08/2014;0,1318
13/08/2014;0,6769;13/08/2014;0,4158;13/08/2014;0,8453;13/08/2014;0,698;29/10/2014;0,4266;13/08/2014;-0,8558;13/08/2014;1,7485;13/08/2014;0,0473;13/08/2014;0,3271;13/08/2014;0,6535;13/08/2014;0,3178;13/08/2014;0,2012;13/08/2014;0,2633
14/08/2014;0,4722;14/08/2014;0,5667;14/08/2014;0,1676;14/08/2014;0,5546;30/10/2014;0,3738;14/08/2014;0,5585;14/08/2014;0,7365;14/08/2014;0,0236;14/08/2014;0,2014;14/08/2014;0,8051;14/08/2014;0,268;14/08/2014;0,0548;14/08/2014;0,5427
15/08/2014;-0,0204;15/08/2014;-0,13;15/08/2014;0,1674;15/08/2014;-0,1182;31/10/2014;0,9277;15/08/2014;1,0351;15/08/2014;-0,853;15/08/2014;0;15/08/2014;0,4019;15/08/2014;1,0907;15/08/2014;0,0729;15/08/2014;0,2463;15/08/2014;0,148
18/08/2014;0,8379;18/08/2014;0,7813;18/08/2014;0,3342;18/08/2014;0,5719;03/11/2014;-1,1708;18/08/2014;1,2744;18/08/2014;2,2941;18/08/2014;0;18/08/2014;-0,3145;18/08/2014;-0,994;18/08/2014;0,3157;18/08/2014;-0,2093;18/08/2014;0,0087
19/08/2014;0,5219;19/08/2014;0,1938;19/08/2014;0,0833;19/08/2014;0,451;04/11/2014;0,1018;19/08/2014;1,0116;19/08/2014;1,0412;19/08/2014;0;19/08/2014;-0,1052;19/08/2014;-0,3089;19/08/2014;0,0726;19/08/2014;-0,1368;19/08/2014;0,2868
20/08/2014;0,2672;20/08/2014;-0,4298;20/08/2014;-0,5824;20/08/2014;0,5466;05/11/2014;-0,4241;20/08/2014;0,2443;20/08/2014;-0,3567;20/08/2014;-0,0945;20/08/2014;-0,2967;20/08/2014;-0,1635;20/08/2014;0;20/08/2014;-0,1096;20/08/2014;-0,4767
21/08/2014;0,2916;21/08/2014;0,5612;21/08/2014;0,5021;21/08/2014;-0,33;06/11/2014;-0,3063;21/08/2014;0,2924;21/08/2014;1,2331;21/08/2014;0;21/08/2014;0,2112;21/08/2014;0,5604;21/08/2014;-0,0242;21/08/2014;0,1737;21/08/2014;0,148
22/08/2014;-0,1554;22/08/2014;-0,5151;22/08/2014;-0,7494;22/08/2014;-0,2143;07/11/2014;-0,1879;22/08/2014;-1,1419;22/08/2014;-2,1218;22/08/2014;-0,0237;22/08/2014;0,0096;22/08/2014;0,5573;22/08/2014;-0,1694;22/08/2014;-0,0183;22/08/2014;-0,0087
25/08/2014;0,5071;25/08/2014;1,014;25/08/2014;0,3356;25/08/2014;0,2342;10/11/2014;0,3593;25/08/2014;1,1059;25/08/2014;1,9671;25/08/2014;-0,0355;25/08/2014;0,0766;25/08/2014;0,3751;25/08/2014;0,3151;25/08/2014;0,0821;25/08/2014;-0,0348
26/08/2014;0,0649;26/08/2014;0,1709;26/08/2014;-0,5017;26/08/2014;-0,0195;11/11/2014;0,4177;26/08/2014;0,8021;26/08/2014;-0,5906;26/08/2014;0,0355;26/08/2014;-0,0191;26/08/2014;-0,3228;26/08/2014;0,0725;26/08/2014;0,0091;26/08/2014;0,2784
27/08/2014;-0,0399;27/08/2014;0,4051;27/08/2014;-0,4202;27/08/2014;0,2727;12/11/2014;-0,3653;27/08/2014;1,688;27/08/2014;-0,5149;27/08/2014;0,0237;27/08/2014;0,2776;27/08/2014;0,8522;27/08/2014;-0,0966;27/08/2014;0,1277;27/08/2014;0,6333
28/08/2014;-0,0549;28/08/2014;-0,5946;28/08/2014;-0,2532;28/08/2014;-0,3497;13/11/2014;0,1365;28/08/2014;-0,7114;28/08/2014;-3,1051;28/08/2014;0,0237;28/08/2014;0,1337;28/08/2014;0,5239;28/08/2014;-0,0242;28/08/2014;0,2004;28/08/2014;-0,25
29/08/2014;0,2848;29/08/2014;-0,0214;29/08/2014;-0,1692;29/08/2014;-0,3509;14/11/2014;0,2893;29/08/2014;1,7674;29/08/2014;-1,8899;29/08/2014;0,0473;29/08/2014;0,0095;29/08/2014;0,0672;29/08/2014;0;29/08/2014;-0,0364;29/08/2014;-0,0691
02/09/2014;-0,0498;02/09/2014;-0,0855;02/09/2014;1,0169;02/09/2014;0,1369;17/11/2014;-0,918;02/09/2014;0,8683;02/09/2014;-1,2144;02/09/2014;-0,085;02/09/2014;-0,6378;02/09/2014;-1,7211;02/09/2014;0,1375;02/09/2014;-0,3049;02/09/2014;-0,4495
03/09/2014;-0,0548;03/09/2014;0,941;03/09/2014;0,0839;03/09/2014;1,0744;18/11/2014;-0,0839;03/09/2014;0,4886;03/09/2014;6,0619;03/09/2014;0,0237;03/09/2014;0,1442;03/09/2014;0,5568;03/09/2014;-0,291;03/09/2014;0,1096;03/09/2014;0,1829
04/09/2014;-0,1446;04/09/2014;-0,5085;04/09/2014;-0,3353;04/09/2014;-0,2319;19/11/2014;-0,2331;04/09/2014;-1,3661;04/09/2014;-1,4388;04/09/2014;-0,0118;04/09/2014;-0,3551;04/09/2014;-1,2183;04/09/2014;-0,3405;04/09/2014;-0,1278;04/09/2014;-0,0174
05/09/2014;0,4495;05/09/2014;0,2129;05/09/2014;-0,4205;05/09/2014;-0,1937;20/11/2014;0,1912;05/09/2014;0,4695;05/09/2014;2,7575;05/09/2014;0,0355;05/09/2014;0,0289;05/09/2014;-0,1897;05/09/2014;-0,0976;05/09/2014;-0,0548;05/09/2014;0,3565
08/09/2014;-0,2586;08/09/2014;-1,3175;08/09/2014;-0,0845;08/09/2014;-1,2616;21/11/2014;1,4313;08/09/2014;-2,3364;08/09/2014;-1,1839;08/09/2014;-0,0591;08/09/2014;-0,1059;08/09/2014;0,0432;08/09/2014;-0,0977;08/09/2014;-0,1006;08/09/2014;-0,6411
09/09/2014;-0,6331;09/09/2014;-0,0646;09/09/2014;-0,8453;09/09/2014;-0,4325;24/11/2014;-0,0507;09/09/2014;-1,7703;09/09/2014;-1,1182;09/09/2014;-0,0592;09/09/2014;-0,2313;09/09/2014;-0,0777;09/09/2014;-0,489;09/09/2014;-0,1373;09/09/2014;-0,3052
10/09/2014;0,3763;10/09/2014;0,4094;10/09/2014;1,1083;10/09/2014;-0,1579;25/11/2014;-0,4229;10/09/2014;-0,6819;10/09/2014;1,252;10/09/2014;0,0118;10/09/2014;-0,2512;10/09/2014;-0,631;10/09/2014;-0,0491;10/09/2014;-0,1375;10/09/2014;-0,0262
11/09/2014;0,115;11/09/2014;-0,4506;11/09/2014;-0,253;11/09/2014;-1,0876;26/11/2014;1,5458;11/09/2014;-0,1226;11/09/2014;-2,513;11/09/2014;0,0118;11/09/2014;-0,1259;11/09/2014;-0,3305;11/09/2014;-0,0983;11/09/2014;-0,101;11/09/2014;0,0087
12/09/2014;-0,5841;12/09/2014;-0,0647;12/09/2014;-0,3381;12/09/2014;-0,8996;28/11/2014;-0,8029;12/09/2014;-2,578;12/09/2014;0,5319;12/09/2014;-0,0237;12/09/2014;-0,3782;12/09/2014;-1,0473;12/09/2014;-0,0738;12/09/2014;-0,2021;12/09/2014;-0,5511
15/09/2014;-0,0748;15/09/2014;0,0431;15/09/2014;0,0848;15/09/2014;-1,1499;01/12/2014;-1,2648;15/09/2014;1,1341;15/09/2014;-1,8722;15/09/2014;0,0474;15/09/2014;0,185;15/09/2014;0,1499;15/09/2014;-0,1477;15/09/2014;-0,0184;15/09/2014;-0,2111
16/09/2014;0,7533;16/09/2014;0,3665;16/09/2014;0,1695;16/09/2014;0,6531;02/12/2014;0,3757;16/09/2014;2,3175;16/09/2014;1,5346;16/09/2014;0,0592;16/09/2014;-0,0291;16/09/2014;-0,4051;16/09/2014;0,0493;16/09/2014;0;16/09/2014;0,1234
17/09/2014;0,1347;17/09/2014;-0,3867;17/09/2014;-0,846;17/09/2014;-2,0479;03/12/2014;0,2722;17/09/2014;-1,1934;17/09/2014;-2,4101;17/09/2014;-0,1065;17/09/2014;-0,2527;17/09/2014;-0,2564;17/09/2014;0,1725;17/09/2014;-0,1105;17/09/2014;-0,2641
18/09/2014;0,533;18/09/2014;0,9273;18/09/2014;0,5973;18/09/2014;0,4533;04/12/2014;1,0521;18/09/2014;-0,7395;18/09/2014;-0,9209;18/09/2014;0,0118;18/09/2014;-0,0682;18/09/2014;0,3191;18/09/2014;0,0738;18/09/2014;0,0092;18/09/2014;0,0353
19/09/2014;-0,0896;19/09/2014;-0,4915;19/09/2014;0,1696;19/09/2014;-0,6986;05/12/2014;-0,0672;19/09/2014;-1,2168;19/09/2014;-0,507;19/09/2014;-0,0118;19/09/2014;0,3803;19/09/2014;1,2725;19/09/2014;0,1721;19/09/2014;0,1659;19/09/2014;0,15
22/09/2014;-0,7723;22/09/2014;-0,365;22/09/2014;-0,0847;22/09/2014;-1,3488;08/12/2014;-0,8906;22/09/2014;-1,9859;22/09/2014;-1,9108;22/09/2014;0,0711;22/09/2014;0,2137;22/09/2014;0,1222;22/09/2014;-0,1473;22/09/2014;0,138;22/09/2014;0,1498
23/09/2014;-0,5724;23/09/2014;-1,2931;23/09/2014;-0,1695;23/09/2014;0,2103;09/12/2014;-1,4412;23/09/2014;-0,8977;23/09/2014;1,4719;23/09/2014;0,0237;23/09/2014;0,2132;23/09/2014;0,6188;23/09/2014;-0,4425;23/09/2014;0,0919;23/09/2014;0,1144
24/09/2014;0,7828;24/09/2014;0,4585;24/09/2014;0,5942;24/09/2014;0,6927;10/12/2014;-1,0838;24/09/2014;0,6729;24/09/2014;2,3038;24/09/2014;-0,0355;24/09/2014;-0,2805;24/09/2014;-0,5544;24/09/2014;-0,3951;24/09/2014;-0,0643;24/09/2014;0,1494
25/09/2014;-1,6135;25/09/2014;-1,6301;25/09/2014;-0,2532;25/09/2014;-2,439;11/12/2014;0,2567;25/09/2014;-2,4422;25/09/2014;-2,5438;25/09/2014;0,071;25/09/2014;0,485;25/09/2014;1,1846;25/09/2014;-0,4958;25/09/2014;0,1929;25/09/2014;-0,158
26/09/2014;0,7945;26/09/2014;0,4198;26/09/2014;0,7614;26/09/2014;0,1923;12/12/2014;-1,508;26/09/2014;1,7918;26/09/2014;-0,1712;26/09/2014;-0,0473;26/09/2014;-0,2124;26/09/2014;-0,1463;26/09/2014;-0,1246;26/09/2014;-0,0092;26/09/2014;-0,2988
29/09/2014;-0,1819;29/09/2014;-0,7481;29/09/2014;-0,5877;29/09/2014;-2,0047;15/12/2014;-0,3317;29/09/2014;-4,1419;29/09/2014;-3,0433;29/09/2014;0,0237;29/09/2014;0,3192;29/09/2014;0,8017;29/09/2014;-0,2744;29/09/2014;0,11;29/09/2014;-0,4672
30/09/2014;-0,2632;30/09/2014;-0,0665;30/09/2014;-0,5912;30/09/2014;0,2612;16/12/2014;-0,5655;30/09/2014;-0,4051;30/09/2014;-1,1052;30/09/2014;-0,0237;30/09/2014;-0,0868;30/09/2014;-0,5644;30/09/2014;0,5003;30/09/2014;-0,0641;30/09/2014;-0,0531
01/10/2014;-1,3552;01/10/2014;-1,2644;01/10/2014;-1,6143;01/10/2014;-0,2822;17/12/2014;1,8346;01/10/2014;-3,0098;01/10/2014;-1,7881;01/10/2014;0,1068;01/10/2014;0,8386;01/10/2014;1,9346;01/10/2014;0,2297;01/10/2014;0,5582;01/10/2014;0,5939
02/10/2014;0,0154;02/10/2014;-1,1233;02/10/2014;-1,8998;02/10/2014;0,4136;18/12/2014;0,0897;02/10/2014;1,0903;02/10/2014;0,5462;02/10/2014;-0,0118;02/10/2014;-0,2972;02/10/2014;-0,8712;02/10/2014;0;02/10/2014;-0,1643;02/10/2014;-0,3624
03/10/2014;1,1009;03/10/2014;-0,4317;03/10/2014;1,2324;03/10/2014;0,0867;19/12/2014;0,6328;03/10/2014;1,1615;03/10/2014;0,2263;03/10/2014;-0,0946;03/10/2014;-0,0288;03/10/2014;0,4266;03/10/2014;0,3992;03/10/2014;-0,0457;03/10/2014;0,1331
06/10/2014;-0,117;06/10/2014;0,8215;06/10/2014;-0,2609;06/10/2014;0,8664;22/12/2014;1,3275;06/10/2014;4,5107;06/10/2014;1,897;06/10/2014;0,0947;06/10/2014;0,1635;06/10/2014;0,0595;06/10/2014;0,0746;06/10/2014;0,0915;06/10/2014;0,2038
07/10/2014;-1,5436;07/10/2014;-2,1277;07/10/2014;-0,6103;07/10/2014;-0,9019;23/12/2014;-1,2929;07/10/2014;0,3924;07/10/2014;-2,6596;07/10/2014;0,0591;07/10/2014;0,5858;07/10/2014;1,3501;07/10/2014;-0,3228;07/10/2014;0,3839;07/10/2014;0,0088
08/10/2014;1,7489;08/10/2014;1,9195;08/10/2014;0,614;08/10/2014;1,8202;24/12/2014;0,5065;08/10/2014;0,5732;08/10/2014;1,0474;08/10/2014;0,1064;08/10/2014;0,3533;08/10/2014;0,0251;08/10/2014;0,299;08/10/2014;0,2823;08/10/2014;0,3978
09/10/2014;-1,9833;09/10/2014;-2,9725;09/10/2014;-2,5283;09/10/2014;-1,4897;26/12/2014;0,9036;09/10/2014;-0,5181;09/10/2014;-2,6589;09/10/2014;0;09/10/2014;-0,1712;09/10/2014;-0,4355;09/10/2014;-1,0184;09/10/2014;-0,1998;09/10/2014;-0,0088
10/10/2014;-1,1414;10/10/2014;-1,3798;10/10/2014;-1,4311;10/10/2014;-2,2683;29/12/2014;0,2018;10/10/2014;-3,5417;10/10/2014;-1,5741;10/10/2014;0,0472;10/10/2014;0,3907;10/10/2014;0,9927;10/10/2014;-0,9285;10/10/2014;0,0728;10/10/2014;-0,2994
13/10/2014;-1,6428;13/10/2014;-0,0237;13/10/2014;-0,9074;13/10/2014;0,7515;30/12/2014;-0,7513;13/10/2014;3,6987;13/10/2014;0,8937;13/10/2014;0,0354;13/10/2014;0,5221;13/10/2014;0,6081;13/10/2014;-0,304;13/10/2014;0,2909;13/10/2014;-0,1325
14/10/2014;0,1548;14/10/2014;0,0712;14/10/2014;0,641;14/10/2014;0,5046;31/12/2014;0,7619;14/10/2014;0,026;14/10/2014;-0,1399;14/10/2014;0,059;14/10/2014;0,1983;14/10/2014;0,6541;14/10/2014;0,2287;14/10/2014;0,2266;14/10/2014;0,2477
15/10/2014;-0,6766;15/10/2014;-1,0666;15/10/2014;-0,546;15/10/2014;0,8077;02/01/2015;-0,9967;15/10/2014;-3,6179;15/10/2014;0,5135;15/10/2014;0,1297;15/10/2014;0,5655;15/10/2014;0,7897;15/10/2014;-0,1774;15/10/2014;0,1809;15/10/2014;0,0088
16/10/2014;-0,0858;16/10/2014;-1,0302;16/10/2014;-0,366;16/10/2014;0,0866;05/01/2015;-0,3645;16/10/2014;-2,3765;16/10/2014;-1,9043;16/10/2014;-0,0589;16/10/2014;-0,2718;16/10/2014;-0,6366;16/10/2014;0,6602;16/10/2014;-0,0813;16/10/2014;0,0088
17/10/2014;1,1811;17/10/2014;2,2029;17/10/2014;0,4591;17/10/2014;1,0385;06/01/2015;-1,2544;17/10/2014;2,7109;17/10/2014;2,2727;17/10/2014;-0,0589;17/10/2014;-0,2913;17/10/2014;-0,5585;17/10/2014;0,9082;17/10/2014;-0,1355;17/10/2014;0,5293
20/10/2014;0,971;20/10/2014;0,45;20/10/2014;2,011;20/10/2014;0,6638;07/01/2015;1,6761;20/10/2014;-2,1815;20/10/2014;-1,2037;20/10/2014;0,0589;20/10/2014;0,1414;20/10/2014;0,3634;20/10/2014;0,9;20/10/2014;0,1176;20/10/2014;0,2194
21/10/2014;1,9811;21/10/2014;1,5091;21/10/2014;-0,1792;21/10/2014;0,6594;08/01/2015;1,6658;21/10/2014;-1,8998;21/10/2014;1,0309;21/10/2014;-0,0236;21/10/2014;-0,2729;21/10/2014;-0,7983;21/10/2014;0,4212;21/10/2014;-0,0904;21/10/2014;-0,2189
22/10/2014;-0,7111;22/10/2014;-1,115;22/10/2014;0,0898;22/10/2014;-0,317;09/01/2015;-0,0683;22/10/2014;-0,7859;22/10/2014;-2,2727;22/10/2014;-0,0236;22/10/2014;-0,0283;22/10/2014;0,1078;22/10/2014;-0,6908;22/10/2014;-0,0543;22/10/2014;0,2106
23/10/2014;1,1625;23/10/2014;1,3625;23/10/2014;0,6278;23/10/2014;0,6572;12/01/2015;-0,4782;23/10/2014;-2,2348;23/10/2014;-0,4746;23/10/2014;-0,0471;23/10/2014;-0,4154;23/10/2014;-0,8867;23/10/2014;0,0745;23/10/2014;-0,2353;23/10/2014;-0,1401
24/10/2014;0,7695;24/10/2014;0,4635;24/10/2014;0,3565;24/10/2014;0,6108;13/01/2015;0,7723;24/10/2014;2,662;24/10/2014;2,1936;24/10/2014;0,0236;24/10/2014;0,0853;24/10/2014;0,1003;24/10/2014;0,3972;24/10/2014;0,0363;24/10/2014;0,0438
27/10/2014;-0,1375;27/10/2014;-0,5536;27/10/2014;0,1776;27/10/2014;-0,4187;14/01/2015;-0,4768;27/10/2014;-3,0722;27/10/2014;-1,1666;27/10/2014;0;27/10/2014;0,1042;27/10/2014;0,1838;27/10/2014;-0,3215;27/10/2014;0,0363;27/10/2014;0,1928
28/10/2014;1,147;28/10/2014;1,531;28/10/2014;0,5319;28/10/2014;1,5976;15/01/2015;0,5989;28/10/2014;3,4894;28/10/2014;1,7469;28/10/2014;-0,0236;28/10/2014;-0,246;28/10/2014;-0,6253;28/10/2014;0;28/10/2014;-0,1541;28/10/2014;0,2275
29/10/2014;-0,1512;29/10/2014;-1,0509;29/10/2014;0,5291;29/10/2014;-1,2208;16/01/2015;0,4933;29/10/2014;-0,6182;29/10/2014;-0,8817;29/10/2014;-0,1297;29/10/2014;-0,332;29/10/2014;0,2265;29/10/2014;0,1737;29/10/2014;-0,2179;29/10/2014;-0,2706
30/10/2014;0,6411;30/10/2014;0,6003;30/10/2014;0,7895;30/10/2014;1,1102;20/01/2015;-0,3216;30/10/2014;3,0252;30/10/2014;4,0262;30/10/2014;0,0354;30/10/2014;0,1047;30/10/2014;0,0837;30/10/2014;-0,0495;30/10/2014;0,1638;30/10/2014;0,2188
31/10/2014;1,1435;31/10/2014;1,1935;31/10/2014;4,9608;31/10/2014;0,6837;21/01/2015;2,1226;31/10/2014;0,7684;31/10/2014;-1,1251;31/10/2014;-0,0236;31/10/2014;-0,1616;31/10/2014;-0,2593;31/10/2014;0;31/10/2014;0;31/10/2014;0,1485
03/11/2014;0,0545;03/11/2014;-1,3155;03/11/2014;0,6633;03/11/2014;-1,5021;22/01/2015;1,5131;03/11/2014;-1,6612;03/11/2014;-1,6841;03/11/2014;-0,0136;03/11/2014;-0,0376;03/11/2014;0;03/11/2014;0,1954;03/11/2014;-0,189;03/11/2014;-0,4145
04/11/2014;-0,3469;04/11/2014;-0,2298;04/11/2014;-2,6359;04/11/2014;0,3969;23/01/2015;-0,3423;04/11/2014;0,4708;04/11/2014;-0,5556;04/11/2014;-0,0118;04/11/2014;-0,0095;04/11/2014;0,311;04/11/2014;-0,323;04/11/2014;0,0091;04/11/2014;-0,246
