Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
05/11/2014;0,6316;05/11/2014;0,6911;05/11/2014;-0,5076;05/11/2014;-0,8531;26/01/2015;0,3435;05/11/2014;-0,6064;05/11/2014;-0,2793;05/11/2014;-0,0236;05/11/2014;0,0286;05/11/2014;-0,1425;05/11/2014;-0,0997;05/11/2014;0,0365;05/11/2014;-0,0617
06/11/2014;0,4003;06/11/2014;-0,3889;06/11/2014;-1,2755;06/11/2014;-0,3148;27/01/2015;-0,819;06/11/2014;-2,6068;06/11/2014;-4,155;06/11/2014;-0,0236;06/11/2014;-0,3053;06/11/2014;-0,6462;06/11/2014;0,1996;06/11/2014;-0,1732;06/11/2014;-0,0705
07/11/2014;0,0935;07/11/2014;0,023;07/11/2014;-0,3445;07/11/2014;0,8632;28/01/2015;-0,7927;07/11/2014;1,2813;07/11/2014;1,3151;07/11/2014;0,0709;07/11/2014;0,6411;07/11/2014;1,1487;07/11/2014;0,0498;07/11/2014;0,3378;07/11/2014;0,1676
10/11/2014;0,3147;10/11/2014;0,4592;10/11/2014;0,7779;10/11/2014;0,2713;29/01/2015;-0,283;10/11/2014;-1,0964;10/11/2014;1,5385;10/11/2014;-0,0709;10/11/2014;-0,4089;10/11/2014;-0,9186;10/11/2014;0,0249;10/11/2014;-0,2366;10/11/2014;-0,1233
11/11/2014;0,0956;11/11/2014;0,7314;11/11/2014;0,6003;11/11/2014;0,3122;30/01/2015;-2,3038;11/11/2014;-0,2558;11/11/2014;-0,6629;11/11/2014;-0,0118;11/11/2014;0,0095;11/11/2014;0,0674;11/11/2014;0,1991;11/11/2014;0,0456;11/11/2014;-0,0529
12/11/2014;-0,1053;12/11/2014;-1,1572;12/11/2014;-0,5115;12/11/2014;-0,2905;02/02/2015;1,6063;12/11/2014;-0,0855;12/11/2014;0,7626;12/11/2014;0,0355;12/11/2014;-0,0382;12/11/2014;-0,0842;12/11/2014;-0,1738;12/11/2014;0,0091;12/11/2014;0,0353
13/11/2014;0,1128;13/11/2014;0,3673;13/11/2014;0,8569;13/11/2014;0,0208;03/02/2015;1,4127;13/11/2014;-1,5687;13/11/2014;-3,5478;13/11/2014;0,0236;13/11/2014;0,1624;13/11/2014;0,236;13/11/2014;-0,5224;13/11/2014;0,0456;13/11/2014;-0,0529
14/11/2014;0,0245;14/11/2014;-0,0915;14/11/2014;0;14/11/2014;0,9988;04/02/2015;0,5473;14/11/2014;-0,4636;14/11/2014;1,3732;14/11/2014;0,0473;14/11/2014;0,2098;14/11/2014;0,4878;14/11/2014;-0,3251;14/11/2014;0,0911;14/11/2014;-0,0794
17/11/2014;0,0637;17/11/2014;0,2289;17/11/2014;-1,6143;17/11/2014;-1,3185;05/02/2015;-0,3464;17/11/2014;-0,524;17/11/2014;-0,4354;17/11/2014;-0,0118;17/11/2014;-0,1142;17/11/2014;-0,2511;17/11/2014;-0,1756;17/11/2014;-0,1183;17/11/2014;-0,2914
18/11/2014;0,5774;18/11/2014;1,3933;18/11/2014;1,3817;18/11/2014;-0,2714;06/02/2015;-1,1933;18/11/2014;1,5511;18/11/2014;0,9718;18/11/2014;-0,0118;18/11/2014;0,1143;18/11/2014;0,2769;18/11/2014;-0,2011;18/11/2014;0,0911;18/11/2014;0,1948
