"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"18.08.2021","0,1284","0,1283","0,1284","0,1283","0,06%"
"17.08.2021","0,1283","0,1285","0,1285","0,1283","-0,11%"
"16.08.2021","0,1285","0,1285","0,1285","0,1284","0,00%"
"13.08.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"12.08.2021","0,1285","0,1286","0,1286","0,1285","0,00%"
"11.08.2021","0,1286","0,1285","0,1286","0,1285","0,00%"
"10.08.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"09.08.2021","0,1285","0,1285","0,1286","0,1285","-0,05%"
"06.08.2021","0,1285","0,1286","0,1286","0,1285","0,00%"
"05.08.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"04.08.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"03.08.2021","0,1286","0,1287","0,1287","0,1286","-0,07%"
"02.08.2021","0,1287","0,1287","0,1287","0,1286","0,00%"
"30.07.2021","0,1287","0,1287","0,1287","0,1286","0,00%"
"29.07.2021","0,1287","0,1285","0,1287","0,1285","0,13%"
"28.07.2021","0,1285","0,1284","0,1286","0,1284","0,06%"
"27.07.2021","0,1284","0,1286","0,1286","0,1284","-0,09%"
"26.07.2021","0,1286","0,1287","0,1287","0,1285","-0,12%"
"23.07.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"22.07.2021","0,1287","0,1286","0,1287","0,1286","0,00%"
"21.07.2021","0,1286","0,1287","0,1287","0,1286","0,00%"
"20.07.2021","0,1286","0,1287","0,1287","0,1286","0,00%"
"19.07.2021","0,1287","0,1287","0,1287","0,1287","-0,04%"
"16.07.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"15.07.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"14.07.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"13.07.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"12.07.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"09.07.2021","0,1287","0,1287","0,1288","0,1287","0,00%"
"08.07.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"07.07.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"06.07.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"05.07.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"02.07.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"01.07.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"30.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"29.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"28.06.2021","0,1288","0,1288","0,1289","0,1288","0,00%"
"25.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"24.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"23.06.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"22.06.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"21.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"18.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"17.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"16.06.2021","0,1288","0,1288","0,1289","0,1288","0,00%"
"15.06.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"14.06.2021","0,1288","0,1289","0,1289","0,1288","0,00%"
"11.06.2021","0,1288","0,1289","0,1289","0,1288","0,00%"
"10.06.2021","0,1289","0,1289","0,1289","0,1288","0,00%"
"09.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"08.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"07.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"04.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"03.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"02.06.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"01.06.2021","0,1289","0,1289","0,1289","0,1288","0,00%"
"31.05.2021","0,1288","0,1288","0,1289","0,1288","0,00%"
"28.05.2021","0,1288","0,1289","0,1289","0,1288","0,00%"
"27.05.2021","0,1289","0,1288","0,1289","0,1288","0,00%"
"26.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"25.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"24.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"21.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"20.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"19.05.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"18.05.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"17.05.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"14.05.2021","0,1287","0,1287","0,1288","0,1287","0,00%"
"13.05.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"12.05.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"11.05.2021","0,1287","0,1288","0,1288","0,1287","-0,04%"
"10.05.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"07.05.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"06.05.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"05.05.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"04.05.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"03.05.2021","0,1288","0,1287","0,1288","0,1287","0,00%"
"30.04.2021","0,1287","0,1288","0,1288","0,1287","-0,05%"
"29.04.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"28.04.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"27.04.2021","0,1288","0,1289","0,1289","0,1288","0,00%"
"26.04.2021","0,1289","0,1289","0,1289","0,1288","0,00%"
"23.04.2021","0,1289","0,1289","0,1289","0,1288","0,00%"
"22.04.2021","0,1289","0,1288","0,1289","0,1288","0,06%"
"21.04.2021","0,1288","0,1288","0,1289","0,1288","-0,04%"
"20.04.2021","0,1288","0,1288","0,1289","0,1287","0,06%"
"19.04.2021","0,1288","0,1287","0,1288","0,1286","0,07%"
"16.04.2021","0,1287","0,1287","0,1288","0,1286","-0,05%"
"15.04.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"14.04.2021","0,1288","0,1286","0,1288","0,1286","0,10%"
"13.04.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"12.04.2021","0,1286","0,1286","0,1287","0,1285","0,06%"
"09.04.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"08.04.2021","0,1286","0,1284","0,1286","0,1284","0,10%"
"07.04.2021","0,1284","0,1286","0,1286","0,1284","-0,11%"
"06.04.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"05.04.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"02.04.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"01.04.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
